,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Afghan Star (2009),55.0,100%,Afghan Star (2009),62,,Documentary,English,Havana Marking,,,"Jun 26, 2009 limited","Mar 30, 2010",$101.5K,1h 28m,Zeitgeist,,,
White Riot (2019),56.0,100%,White Riot (2019),50,,"Documentary, Music",English (United Kingdom),Rubika Shah,Ed Gibbs,"Ed Gibbs, Rubika Shah",,"Dec 3, 2020",,1h 20m,,,,
Slay the Dragon (2020),57.0,100%,Slay the Dragon (2020),49,PG-13 (Brief Strong Language),Documentary,English,"Chris Durrance, Barak Goodman",Barak Goodman,,,"Apr 3, 2020",,1h 41m,,,,
Project Nim (2011),58.0,97%,Project Nim (2011),147,PG-13 (Drug Content|Disturbing Images|Some Strong Language|Thematic Elements),Documentary,English,James Marsh,Simon Chinn,Elizabeth Hess,"Jul 8, 2011 limited","Dec 6, 2011",$410.1K,1h 39m,Roadside Attractions,,,
Shirkers (2018),59.0,99%,Shirkers (2018),71,,Documentary,English,Sandi Tan,"Jessica Levin, Maya Rudolph, Sandi Tan",,"Oct 26, 2018 limited","Oct 26, 2018",,1h 36m,Netflix,,,
Iris (2015),60.0,98%,Iris (2015),100,PG-13 (Some Strong Language),"Drama, Biography, Documentary, History",English,Albert Maysles,"Jennifer Ash Rudick, Lara Coxson, Rebekah Maysles",,"Apr 29, 2015 limited","Aug 25, 2015",$1.3M,1h 23m,Magnolia Pictures,,,
Capturing the Friedmans (2003),61.0,97%,Capturing the Friedmans (2003),154,,"Biography, Documentary",English,Andrew Jarecki,"Andrew Jarecki, Marc Smerling",,"May 30, 2003 original","Jan 27, 2004",$3.1M,1h 47m,Magnolia Films,,,
Strong Island (2017),62.0,100%,Strong Island (2017),48,,Documentary,English,Yance Ford,"Yance Ford, Joslyn Barnes, Esther Robinson",,"Sep 15, 2017 limited","Sep 15, 2017",,1h 47m,Netflix,,,
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",63.0,100%,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",42,PG-13,Documentary,English,Errol Morris,"Dorothy Aufiero, David Collins, Errol Morris, Kathy Trustman, Michael Williams",,"Jan 14, 2000 wide","Jul 22, 2003",$495.3K,1h 30m,Universal Pictures,Surround,,
The Fight (2020),64.0,99%,The Fight (2020),67,PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,English,"Elyse Steinberg, Josh Kriegman, Eli B. Despres","Eli B. Despres, Peggy Drexler, Josh Kriegman, Maya Seidler, Elyse Steinberg, Kerry Washington",,"Jul 31, 2020 limited","Jul 30, 2020",,1h 36m,Magnolia Pictures,,,
A Thousand Cuts (2020),65.0,100%,A Thousand Cuts (2020),44,,Documentary,English,Ramona S. Diaz,"Ramona S. Diaz, Chris Clements, Christopher Clements, Julie Goldman, Carolyn Hepburn, Leah Marino",Ramona S. Diaz,"Aug 7, 2020 limited","Aug 7, 2020",,1h 50m,PBS Distribution,,,
Rewind (2020),66.0,100%,Rewind (2020),44,,"Drama, Documentary",English,Sasha Neulinger,"Avela Grenier, Shasta Grenier, Robert Schneeweis",,,"Jun 12, 2020",,1h 26m,,,,
Tea With the Dames (Nothing Like a Dame) (2018),67.0,98%,Tea With the Dames (Nothing Like a Dame) (2018),88,,Documentary,English (United Kingdom),Roger Michell,"Sally Angel, Karen Steyn",,"Sep 21, 2018 limited","Sep 27, 2018",$858.9K,1h 23m,Sundance Selects,,,
The Invisible War (2012),68.0,99%,The Invisible War (2012),72,,"Drama, Documentary, Crime",English,Kirby Dick,"Tanner King Barklow, Amy Ziering","Kirby Dick, Amy Ziering, Douglas Blush","Jun 22, 2012 limited","Nov 20, 2012",$19.6K,1h 35m,Cinedigm,,,
Sound City (2013),69.0,100%,Sound City (2013),46,,"Documentary, Music",English,Dave Grohl,"Dave Grohl, John Ramsay, James A. Rota",Mark Monroe,"Feb 1, 2013 original","Mar 12, 2013",$422.4K,1h 48m,,,,
56 Up (2013),70.0,99%,56 Up (2013),69,,Documentary,English (United Kingdom),"Michael Apted, Paul Almond","Michael Apted, Claire Lewis",,"Jan 4, 2013 limited","Jul 2, 2013",$701.3K,2h 23m,First Run,,,
Elaine Stritch: Shoot Me (2014),71.0,99%,Elaine Stritch: Shoot Me (2014),67,,Documentary,English,Chiemi Karasawa,"Chiemi Karasawa, Elizabeth Hemmerdinger",,"Feb 21, 2014 limited","Jun 24, 2014",$303.1K,1h 26m,IFC Films,,,
The Act Of Killing (2013),72.0,95%,The Act Of Killing (2013),160,,"History, Documentary, Drama, War, Crime, Biography",Indonesian,Joshua Oppenheimer,"Anne Köhncke, Signe Byrge Sørensen",,"Jul 19, 2013 limited","Apr 1, 2014",$484.2K,2h 2m,Drafthouse Films,,,
My Journey Through French Cinema (Voyage À Travers Le Cinéma Français) (2017),73.0,100%,My Journey Through French Cinema (Voyage À Travers Le Cinéma Français) (2017),42,,Documentary,French (France),Bertrand Tavernier,,Bertrand Tavernier,"Jun 23, 2017 limited","Nov 21, 2017",$52.1K,3h 15m,Cohen Media Group,,,
Last Train Home (2010),74.0,100%,Last Train Home (2010),55,,Documentary,Chinese,Lixin Fan,"Mila Aung-Thwin, Daniel Cross",,"Sep 3, 2010 original","Feb 22, 2011",$285.8K,1h 25m,,,,
Changing the Game (2019),75.0,100%,Changing the Game (2019),41,,"Lgbtq+, Documentary, Sports & fitness",English,Michael Barnett,"Clare Tucker, Alex Schmider",Michael Mahaffie,,"Jun 1, 2021",,1h 28m,,,,
The Look of Silence (2015),76.0,96%,The Look of Silence (2015),139,PG-13 (Thematic Material|Graphic Desc. of Inhumanity|Graphic Desc. of Atrocities),Documentary,Indonesian,Joshua Oppenheimer,Signe Byrge Sørensen,,"Jul 17, 2015 limited","Jan 12, 2016",$109.1K,1h 39m,Drafthouse Films,,,
California Typewriter (2017),77.0,100%,California Typewriter (2017),40,,Documentary,English,Doug Nichol,"John Benet, Doug Nichol, Nion McEvoy",,"Aug 18, 2017 limited","Oct 20, 2017",$218.6K,1h 43m,Gravitas Ventures,,,
More Than Honey (2013),78.0,100%,More Than Honey (2013),41,,Documentary,German,Markus Imhoof,,,"Jun 12, 2013 limited","Mar 18, 2014",$71.5K,1h 35m,Kino Lorber,,,
Nostalgia for the Light (2011),79.0,100%,Nostalgia for the Light (2011),48,,Documentary,Spanish,Patricio Guzmán,"Meike Martens, Renate Sachse",Patricio Guzmán,,"May 10, 2016",,1h 30m,,,,
Everyday Sunshine: The Story of Fishbone (2011),80.0,100%,Everyday Sunshine: The Story of Fishbone (2011),47,,"Documentary, Music",English,"Lev Anderson, Chris Metzler","Lev Anderson, Chris Metzler","Lev Anderson, Chris Metzler","Oct 7, 2011 limited","Feb 21, 2012",,1h 47m,Cinema Guild,,,
13th (2016),81.0,97%,13th (2016),110,,Documentary,English,Ava DuVernay,"Spencer Averick, Howard Barish, Ava DuVernay","Spencer Averick, Ava DuVernay",,"May 23, 2017",,1h 40m,,,,
Bill Cunningham New York (2011),82.0,99%,Bill Cunningham New York (2011),74,,"Drama, Biography, Documentary, History",English,Richard Press,Philip Gefter,,"Mar 16, 2011 limited","Sep 13, 2011",$1.5M,1h 24m,Zeitgeist Films,,,
We Were Here (2011),83.0,100%,We Were Here (2011),46,,"History, Documentary, Drama, Biography, Lgbtq+",English,"David Weissman, Bill Weber",David Weissman,,"Sep 9, 2011 limited","May 15, 2012",,1h 30m,Red Flag Releasing,,,
Spellbound (2002),84.0,97%,Spellbound (2002),139,G,Documentary,English,Jeffrey Blitz,"Jeffrey Blitz, Sean Welch",Jeffrey Blitz,"Apr 30, 2003 original","Jan 20, 2004",$5.7M,1h 37m,ThinkFilm,,,
Enron: The Smartest Guys in the Room (2005),85.0,97%,Enron: The Smartest Guys in the Room (2005),119,R (Some Nudity|Language),Documentary,English,Alex Gibney,"Alex Gibney, Jason Kliot, Susan Motamed",Alex Gibney,"Apr 22, 2005 original","Jan 17, 2006",$4.1M,1h 53m,Magnolia Pictures,,,
Sholem Aleichem: Laughing in the Darkness (2011),86.0,100%,Sholem Aleichem: Laughing in the Darkness (2011),43,,Documentary,English,Joseph Dorman,,Joseph Dorman,"Jul 8, 2011 limited","Apr 9, 2013",$906.7K,1h 33m,International Film Circuit [us],,,
