,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Eternal Sunshine of the Spotless Mind (2004),86.0,92%,Eternal Sunshine of the Spotless Mind (2004),250,R (Some Drug Content|Language|Some Sexual Content),"Sci-fi, Romance",English,Michel Gondry,"Anthony Bregman, Steve Golin","Charlie Kaufman, Michel Gondry","Mar 19, 2004 original","Sep 28, 2004",$34.1M,1h 48m,Focus Features,"Dolby SRD, DTS, Surround",Flat (1.85:1),
The Town (2010),87.0,92%,The Town (2010),235,R (Pervasive Language|Drug Use|Some Sexuality|Strong Violence),"Drama, Mystery & thriller, Crime",English,Ben Affleck,"Graham King, Basil Iwanyk","Peter Craig, Ben Affleck, Aaron Stockard","Sep 17, 2010 wide","Dec 17, 2010",$92.2M,2h 4m,Warner Bros. Pictures,"SDDS, Dolby Digital, DTS",,
A Summer's Tale (2014),88.0,98%,A Summer's Tale (2014),47,,"Comedy, Romance",French (Canada),Éric Rohmer,Francoise Etchegaray,Éric Rohmer,"Jun 20, 2014 limited","Aug 10, 2016",$198.1K,1h 53m,Big World Pictures,,,
Moonstruck (1987),89.0,94%,Moonstruck (1987),65,PG,"Comedy, Romance",English,Norman Jewison,"Norman Jewison, Patrick J. Palmer",John Patrick Shanley,"Dec 18, 1987 original","Jun 30, 1998",$80.0M,1h 41m,Metro-Goldwyn-Mayer,,,
Before Sunset (2004),90.0,94%,Before Sunset (2004),177,R (Sexual References|Language),"Drama, Romance",English,Richard Linklater,Anne Walker-McBay,"Richard Linklater, Kim Krizan","Feb 10, 2004 original","Sep 27, 2005",$5.8M,1h 20m,Warner Independent,"Surround, Dolby SRD",Flat (1.85:1),
Big Night (1996),91.0,96%,Big Night (1996),57,R,Drama,English,"Campbell Scott, Stanley Tucci",Jonathan Filley,"Joseph Tropiano, Stanley Tucci","Jan 24, 1996 original","Apr 7, 1998",$12.0M,1h 47m,Samuel Goldwyn Company,,,
Howards End (1992),92.0,94%,Howards End (1992),67,PG,Drama,English,James Ivory,Ismail Merchant,Ruth Prawer Jhabvala,"Mar 13, 1992 original","Nov 3, 2009",$157.9K,2h 20m,Sony Pictures Classics,"Surround, Stereo",,
The Crying Game (1992),93.0,94%,The Crying Game (1992),66,R,Mystery & thriller,English,Neil Jordan,Stephen Woolley,Neil Jordan,"Nov 25, 1992 wide","Jul 3, 2012",$60.7M,1h 53m,"Live Video, Miramax Films","Surround, Dolby SR",,
From Here to Eternity (1953),94.0,90%,From Here to Eternity (1953),63,,Drama,English,Fred Zinnemann,Buddy Adler,"James Jones, Daniel Taradash","Aug 5, 1953 wide","Mar 4, 2003",,1h 58m,Columbia Pictures,Mono,Flat (1.37:1),
The Little Mermaid (1989),95.0,93%,The Little Mermaid (1989),71,G,"Kids & family, Fantasy, Animation",English,"Ron Clements, John Musker","Howard Ashman, John Musker","Roger Allers, Ron Clements, John Musker","Nov 15, 1989 original","Oct 1, 2013",$109.9M,1h 22m,"Buena Vista Distribution Co. Inc., BV International Pictures [no]","Surround, Stereo, Magnetic Stereo 6 Track",35mm,
The Quiet Man (1952),96.0,91%,The Quiet Man (1952),45,,Drama,English,John Ford,"Merian C. Cooper, John Ford","Frank S. Nugent, Maurice Walsh","Aug 1, 1952 wide","Oct 22, 2002",,2h 9m,Republic Pictures,Mono,Flat (1.37:1),
About a Boy (2002),97.0,93%,About a Boy (2002),187,PG-13 (Some Thematic Elements|Brief Strong Language),"Drama, Comedy, Romance",English,"Chris Weitz, Paul Weitz","Jane Rosenthal, Robert De Niro, Brad Epstein, Tim Bevan, Eric Fellner","Peter Hedges, Chris Weitz, Paul Weitz, Nick Hornby","May 17, 2002 wide","Jan 14, 2003",$40.6M,1h 40m,Universal Pictures,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1),
Monsoon Wedding (2002),98.0,95%,Monsoon Wedding (2002),126,R (Some Sex Related Dialogue|Language),"Drama, Comedy",English,Mira Nair,"Caroline Baron, Mira Nair",Sabrina Dhawan,"Feb 22, 2002 wide","Sep 24, 2002",$13.9M,1h 40m,USA Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
To All the Boys I've Loved Before (2018),99.0,96%,To All the Boys I've Loved Before (2018),70,TV14,"Drama, Romance",English,Susan Johnson,"Dougie Cash, Matthew Kaplan, James Lassiter, Brian Robbins, Will Smith",Sofía Álvarez,,"Aug 17, 2018",,1h 39m,,,,
Revanche (2009),100.0,96%,Revanche (2009),83,,"Drama, Mystery & thriller, Crime",German,Götz Spielmann,"Sandra Bohle, Mathias Forberg, Götz Spielmann, Heinz Stussak",Götz Spielmann,"May 1, 2009 limited","Feb 16, 2010",,2h 1m,,,,
