,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Outlaw Josey Wales (1976),26.0,90%,The Outlaw Josey Wales (1976),42,PG,Western,English,Clint Eastwood,Robert Daley,"Forrest Carter, Philip Kaufman, Sonia Chernus","Jun 30, 1976 wide","Oct 30, 2001",,2h 15m,Warner Bros. Pictures,,,
City Slickers (1991),27.0,91%,City Slickers (1991),43,PG-13,Comedy,English,Ron Underwood,Irby Smith,"Lowell Ganz, Babaloo Mandel","Jun 7, 1991 original","May 8, 2001",$119.8M,1h 52m,Columbia Pictures,"Surround, Dolby SR",35mm,
The Harder They Fall (2021),28.0,87%,The Harder They Fall (2021),190,R (Strong Violence and Language),"Western, Drama",English,Jeymes Samuel,"Lawrence Bender, Jay-Z, James Lassiter, Jeymes Samuel","Jeymes Samuel, Boaz Yakin","Oct 22, 2021 limited","Nov 3, 2021",,2h 17m,Netflix,Dolby Digital,Scope (2.35:1),
Prospect (2018),29.0,89%,Prospect (2018),53,R (Some Violence/Bloody Images),"Adventure, Sci-fi, Mystery & thriller",English,"Zeek Earl, Chris Caldwell","Dan Balgoyen, Garrick Dion, Scott Glassgold, Andrew Miano, Matthias Mellinghaus, Chris Weitz","Zeek Earl, Chris Caldwell","Nov 2, 2018 limited","Mar 8, 2019",,1h 38m,Gunpowder & Sky,,,
The Three Burials of Melquiades Estrada (2006),30.0,85%,The Three Burials of Melquiades Estrada (2006),149,R (Sexuality|Language|Violence),"Drama, Adventure, Crime",English,Tommy Lee Jones,"Michael Fitzgerald, Luc Besson, Pierre-Ange Le Pogam, Tommy Lee Jones",Guillermo Arriaga,"May 19, 2005 original","Jun 6, 2006",$5.0M,2h 1m,Sony Pictures Classics,,,
Meek's Cutoff (2011),31.0,86%,Meek's Cutoff (2011),130,PG (Smoking|Brief Language|Some Mild Violent Content),Western,English,Kelly Reichardt,"Neil Kopp, Anish Savjani, Elizabeth Cuthrell, David Urrutia",Jonathan Raymond,"Apr 8, 2011 limited","Sep 20, 2011",$977.6K,1h 41m,Oscilloscope Pictures,,,
McCabe & Mrs. Miller (1971),32.0,84%,McCabe & Mrs. Miller (1971),56,R,Western,English,Robert Altman,"Mitchell Brower, David Foster","Robert Altman, Warren Beatty, Brian McKay, Edmund Naughton","Jun 24, 1971 wide","Jun 4, 2002",,2h 1m,Warner Bros.,Mono,,
The Proposition (2005),33.0,85%,The Proposition (2005),129,R (Strong Grisly Violence|Language),"Drama, Action, Western",English,John Hillcoat,"Chris Brown, Cat Villiers, Chiara Menage, Jackie O'Sullivan",Nick Cave,,"Sep 19, 2006",$1.9M,1h 44m,,Dolby,,
Westworld (1973),34.0,85%,Westworld (1973),41,PG,Sci-fi,English,Michael Crichton,Paul N. Lazarus III,Michael Crichton,"Nov 21, 1973 original","Jul 3, 2001",,1h 28m,Metro-Goldwyn-Mayer,Stereo,"35mm, Scope (2.35:1)",
Dances With Wolves (1990),35.0,83%,Dances With Wolves (1990),76,PG-13,"Drama, History, Western",English,Kevin Costner,"Kevin Costner, Jim Wilson",Michael Blake,"Nov 21, 1990 wide","Aug 1, 2006",$184.0M,3h 0m,"MGM/UA Home Entertainment Inc., Image Entertainment Inc., Orion Pictures","Dolby SR, Dolby Digital, Surround",Scope (2.35:1),
