,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Timbuktu (2015),59.0,98%,Timbuktu (2015),124,PG-13 (Thematic Elements|Some Violence),Drama,French (France),Abderrahmane Sissako,"Rémi Burah, Etienne Comar, Sylvie Pialat, Olivier Père","Abderrahmane Sissako, Kessen Tall",,"Jun 9, 2015",$1.1M,1h 37m,,,,
The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),60.0,98%,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),44,G,"Musical, Romance",French (France),"Jacques Demy, Agnès Varda","Perrine Bauduin, Gilbert de Goldschmidt","Jacques Demy, Julian More","Mar 8, 1967 original","Jul 22, 2014",$88.5K,2h 5m,"Miramax Films, Miramax Zoë, Warner Bros., Miramax Home Entertainment [us]",Stereo,"35mm, Scope (2.35:1)",
The Road (La Strada) (1954),61.0,98%,The Road (La Strada) (1954),43,,Drama,English,Federico Fellini,Dino De Laurentiis,"Federico Fellini, Ennio Flaiano, Tullio Pinelli, Carlo Ponti","Jul 16, 1954 original","Nov 18, 2003",,1h 55m,Criterion Collection,,,
"Crouching Tiger, Hidden Dragon (2001)",62.0,97%,"Crouching Tiger, Hidden Dragon (2001)",159,PG-13 (Some Sexuality|Martial Arts Violence),"Sports & fitness, Adventure, Action",Chinese,Ang Lee,"Li-Kong Hsu, William Kong, Ang Lee","Wang Du-lu, Hui-Ling Wang, James Schamus, Kuo Jung Tsai","Dec 22, 2000 wide","Jun 5, 2001",$128.1M,2h 0m,"Columbia Tristar, Sony Pictures Classics","Dolby SR, Dolby Digital, Surround",Scope (2.35:1),
The Rules of the Game (La règle du jeu) (1939),63.0,96%,The Rules of the Game (La règle du jeu) (1939),51,,"Drama, Comedy",French (France),Jean Renoir,Claude Renoir,"Carl Koch, Jean Renoir","Jul 8, 1939 original","Jan 20, 2004",,1h 50m,"Cine Classics, Criterion Collection",,"35mm, Flat (1.37:1)",
Wings of Desire (1987),64.0,98%,Wings of Desire (1987),56,PG-13,Fantasy,German,Wim Wenders,"Anatole Dauman, Wim Wenders","Wim Wenders, Peter Handke","Jan 1, 1987 wide","Nov 3, 2009",$120.8K,2h 8m,Orion Pictures,"Stereo, Dolby Stereo",Flat (1.66:1),
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",65.0,96%,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",50,,Adventure,English,Werner Herzog,Werner Herzog,Werner Herzog,"Apr 3, 1972 original","Oct 31, 2000",,1h 34m,New Yorker Films,,,
Jiro Dreams of Sushi (2012),66.0,99%,Jiro Dreams of Sushi (2012),95,PG (Mild Thematic Elements|Brief Smoking),Documentary,Japanese,David Gelb,"Matt Weaver, Tom Pelligrini",,"Mar 9, 2012 limited","Jul 24, 2012",$2.6M,1h 21m,Magnolia Pictures,,,
Border (Gräns) (2018),67.0,97%,Border (Gräns) (2018),130,R (Graphic Nudity|A Bloody Violent Image|Language|Some Sexual Content),"Fantasy, Mystery & thriller, Romance, Horror",Swedish,Ali Abbasi,"Nina Bisgaard, Peter Gustafsson, Petra Jönsson","Ali Abbasi, Isabella Eklöf, John Ajvide Lindqvist","Oct 26, 2018 limited","Feb 22, 2019",$771.9K,1h 48m,Neon,Dolby Digital,Scope (2.35:1),
Aruitemo Aruitemo (Still Walking) (2008),68.0,100%,Aruitemo Aruitemo (Still Walking) (2008),64,,Drama,Japanese,Hirokazu Koreeda,"Yoshihiro Kato, Satoshi Kono, Hijiri Taguchi, Masahiro Yasuda",Hirokazu Koreeda,"Aug 28, 2009 limited","Feb 8, 2011",$163.5K,1h 54m,IFC Films,,,
All About My Mother (Todo sobre mi madre) (1999),69.0,98%,All About My Mother (Todo sobre mi madre) (1999),91,R (Sexuality|Language|Some Drug Content|Strong Sexual Dialogue),"Drama, Comedy",Spanish (Spain),Pedro Almodóvar,Agustín Almodóvar,Pedro Almodóvar,"Nov 24, 1999 original","Nov 3, 2009",$8.3M,1h 39m,"Sony Pictures Entertainment, Sony Pictures Classics","Dolby SR, Dolby Digital, Surround",Scope (2.35:1),
Poetry (2011),70.0,100%,Poetry (2011),72,,Drama,Korean,Lee Chang-dong,Lee Jun-dong,Lee Chang-dong,,"Aug 23, 2011",$355.0K,2h 19m,,,,
The Band's Visit (2007),71.0,98%,The Band's Visit (2007),119,PG-13 (Brief Strong Language),"Drama, Comedy",Arabic,Eran Kolirin,"Ehud Bleiberg, Koby Gal-Raday, Guy Jacoel, Eilon Ratzkovsky, Yossi Uzrad",Eran Kolirin,"Feb 8, 2008 limited","Jul 29, 2008",$3.1M,1h 26m,Sony Pictures Classics,Dolby Digital,,
Waltz with Bashir (2008),72.0,96%,Waltz with Bashir (2008),153,R (Dist. Images of Atrocities|Brief Nudity|Graphic Sexual Violence|Strong Violence),"Documentary, Animation",Hebrew,Ari Folman,"Ari Folman, Serge Lalou, Gerhard Meixner, Roman Paul",Ari Folman,"Dec 25, 2008 limited","Jun 23, 2009",$2.3M,1h 30m,Sony Pictures Classics,,,
Waste Land (2010),73.0,100%,Waste Land (2010),71,PG,Documentary,English,"Lucy Walker, Karen Harley, João Jardim",Angus Aynsley,,"Oct 29, 2010 limited","Mar 15, 2011",$187.7K,1h 38m,Arthouse Films,,,
Amour (2012),74.0,93%,Amour (2012),224,PG-13 (Brief Language|A Disturbing Act|Mature Thematic Material),Drama,French (France),Michael Haneke,"Margaret Ménégoz, Stefan Arndt, Veit Heideuschka, Michael Katz","Michael Haneke, Michael Haneke","Dec 19, 2012 limited","Aug 20, 2013",$3.7M,2h 7m,Sony Pictures Classics,,,
Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),75.0,96%,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),149,,"Drama, Adventure, History",Spanish,Ciro Guerra,Cristina Gallego,"Ciro Guerra, Jacques Toulemonde Vidal","Feb 17, 2016 limited","Jun 21, 2016",$1.3M,2h 3m,Oscilloscope Pictures,,,
Afghan Star (2009),76.0,100%,Afghan Star (2009),62,,Documentary,English,Havana Marking,,,"Jun 26, 2009 limited","Mar 30, 2010",$101.5K,1h 28m,Zeitgeist,,,
Project Nim (2011),77.0,97%,Project Nim (2011),147,PG-13 (Drug Content|Disturbing Images|Some Strong Language|Thematic Elements),Documentary,English,James Marsh,Simon Chinn,Elizabeth Hess,"Jul 8, 2011 limited","Dec 6, 2011",$410.1K,1h 39m,Roadside Attractions,,,
After the Storm (Umi yori mo mada fukaku) (2017),78.0,96%,After the Storm (Umi yori mo mada fukaku) (2017),138,,Drama,Japanese,Hirokazu Koreeda,,Hirokazu Koreeda,"Mar 17, 2017 limited","Jul 11, 2017",$270.2K,1h 57m,Film Movement,Dolby Digital,,
