,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The 39 Steps (1935),45.0,96%,The 39 Steps (1935),53,,Mystery & thriller,English (United Kingdom),Alfred Hitchcock,"Michael Balcon, Ivor Montagu","John Buchan, Charles Bennett, Ian Hay","Jun 18, 1935 original","Nov 2, 1999",,1h 20m,"LS Video, Gaumont British Distributors, Grapevine Video",Mono,,
Frankenstein (1931),46.0,100%,Frankenstein (1931),52,,Horror,English,James Whale,Carl Laemmle Jr.,"Mary Shelley, Peggy Webling, John L. Balderston, Francis Edward Faragoh","Nov 21, 1931 wide","Aug 17, 1999",,1h 11m,"MCA/Universal Pictures [us], Universal Pictures, Screen Gems, Universal Home Entertainment, Realart Pictures Inc.",Mono,,
The Thin Man (1934),47.0,98%,The Thin Man (1934),43,,"Drama, Comedy",English,W. S. Van Dyke II,Hunt Stromberg,"Dashiell Hammett, Albert Hackett, Frances Goodrich","Jun 1, 1934 wide","Aug 2, 2005",,1h 33m,Metro-Goldwyn-Mayer,,,
The Gold Rush (1925),48.0,100%,The Gold Rush (1925),50,,"Drama, Adventure, Comedy",English,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Jun 26, 1925 wide","Jun 12, 2012",,1h 22m,United Artists,,Academy (1.33:1),
Battleship Potemkin (1925),49.0,100%,Battleship Potemkin (1925),49,,"Drama, Mystery & thriller, History",Russian,Sergei M. Eisenstein,Jacob Bliokh,"Nina Agadzhanova, Nikolay Aseev, Sergei M. Eisenstein, Sergei Tretyakov","Dec 5, 1926 original","Nov 4, 2003",$51.0K,1h 7m,"Amkino Corporation, Reel Media International [us], Grapevine Video, Image Entertainment Inc.",,Academy (1.33:1),
A Streetcar Named Desire (1951),50.0,97%,A Streetcar Named Desire (1951),63,PG,Drama,English,Elia Kazan,Charles K. Feldman,"Oscar Saul, Tennessee Williams, Tennessee Williams","Jan 1, 1951 wide","Sep 4, 2007",,2h 2m,Warner Bros. Pictures,,Flat (1.37:1),
Touch of Evil (1958),51.0,95%,Touch of Evil (1958),79,,"Drama, Mystery & thriller, Crime",English,Orson Welles,Albert Zugsmith,"Orson Welles, Paul Monash, Franklin Coen",,"Jul 6, 2004",,1h 35m,,,,
Kind Hearts and Coronets (1949),52.0,100%,Kind Hearts and Coronets (1949),47,,"Drama, Comedy, Crime",English,Robert Hamer,John Dighton,"Roy Horniman, Robert Hamer, John Dighton","Jun 14, 1950 wide","Feb 28, 2006",$35.9K,1h 44m,"Anchor Bay Entertainment, General Film Distributors, Eagle-Lion Films Inc. [us]",,,
Rashômon (1951),53.0,98%,Rashômon (1951),56,,Drama,Japanese,Akira Kurosawa,Minoru Jingo,"Ryûnosuke Akutagawa, Shinobu Hashimoto, Akira Kurosawa","Dec 26, 1950 wide","Apr 2, 2002",,1h 28m,RKO Radio Pictures,Mono,Academy (1.33:1),
It's a Wonderful Life (1946),54.0,94%,It's a Wonderful Life (1946),90,PG (Some Violence|Smoking|Thematic Elements),"Drama, Comedy, Other",English,Frank Capra,Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra, Philip Van Doren Stern, Jo Swerling","Jan 7, 1946 wide","Jul 13, 2004",$3.3M,2h 9m,RKO Radio Pictures,,Flat (1.37:1),
Vertigo (1958),55.0,94%,Vertigo (1958),84,PG,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Pierre Boileau, Thomas Narcejac, Samuel A. Taylor, Alec Coppel","May 9, 1958 wide","Jan 25, 2001",$1.8M,2h 8m,Paramount Pictures,,Flat (1.85:1),
The Last Picture Show (1971),56.0,100%,The Last Picture Show (1971),60,R (Nudity|Language|Sexuality),Drama,English,Peter Bogdanovich,Stephen Friedman,"Peter Bogdanovich, Larry McMurtry, Larry McMurtry","Jan 1, 1971 wide","Nov 30, 1999",,1h 58m,Columbia Pictures,Mono,,
The Red Shoes (1948),57.0,97%,The Red Shoes (1948),62,,"Drama, Romance",English (United Kingdom),"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger","Hans Christian Andersen, Michael Powell, Emeric Pressburger, Keith Winter, Marius Goring","Sep 6, 1948 original","Mar 1, 2001",,2h 13m,"Criterion Collection, MCA/Universal Pictures [us]",Mono,,
Scarface (1932),58.0,98%,Scarface (1932),46,PG,"Drama, Crime",English,Howard Hawks,,,,"Jul 8, 2008",,1h 33m,,,,
The Grapes of Wrath (1940),59.0,100%,The Grapes of Wrath (1940),48,,Drama,English,John Ford,Darryl F. Zanuck,Nunnally Johnson,"Mar 15, 1940 original","Apr 6, 2004",,2h 9m,20th Century Fox,,,
